,Unnamed: 0,attraction_id,country,province,city,lien_detail,image,category,nbre_review,address,name,rating,price,lat,lng
46,46,46,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d16875019-Reviews-The_Vessel-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/b8/5e/17/ground-view-from-the.jpg?w=500&h=-1&s=1,47. The Vessel,1421,"{'lat': 40.714553, 'lng': -74.03454702}",Points of Interest & Landmarks • Architectural Buildings,4.5,39.0,40.714553,-74.03454702
47,47,47,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d9868012-Reviews-World_Trade_Center_Memorial_Foundation-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/86/b9/1a/photo0jpg.jpg?w=500&h=-1&s=1,48. World Trade Center Memorial Foundation,1369,"{'lat': 40.70780182, 'lng': -74.01190186}",Historic Sites • Historic Walking Areas,5.0,33.0,40.70780182,-74.01190186
48,48,48,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d106189-Reviews-Whitney_Museum_of_American_Art-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/87/4e/56/whitney-museum-of-american.jpg?w=500&h=400&s=1,49. Whitney Museum of American Art,3239,"{'lat': 40.72782516, 'lng': -73.99477386}",Art Museums,4.5,30.0,40.72782516,-73.99477386
49,49,49,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d108686-Reviews-United_Nations_Headquarters-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/25/36/5f/united-nations-headquarters.jpg?w=500&h=-1&s=1,50. United Nations Headquarters,2150,"{'lat': 40.71304703, 'lng': -74.00723267}",Historic Sites • Points of Interest & Landmarks,4.0,52.0,40.71304703,-74.00723267
50,50,50,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d5550170-Reviews-West_Village-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/05/21/18/photo1jpg.jpg?w=500&h=-1&s=1,51. West Village,1617,"{'lat': 40.72782516, 'lng': -73.99477386}",Neighborhoods,4.5,89.0,40.72782516,-73.99477386
51,51,51,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d1597190-Reviews-Ellis_Island_Immigration_Museum-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/84/a5/a4/ellis-island-immigration.jpg?w=500&h=400&s=1,52. Ellis Island Immigration Museum,3171,"{'lat': 40.70780182, 'lng': -74.01190186}",Speciality Museums,4.5,44.0,40.70780182,-74.01190186
52,52,52,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d11744535-Reviews-One_World_Trade_Center-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/1f/75/21/view.jpg?w=500&h=-1&s=1,53. One World Trade Center,1020,"{'lat': 40.70780182, 'lng': -74.01190186}",Points of Interest & Landmarks • Architectural Buildings,4.5,35.99,40.70780182,-74.01190186
53,53,53,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d105054-Reviews-Trinity_Church-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/dc/3c/3a/inside-trinity-church.jpg?w=500&h=400&s=1,54. Trinity Church,1533,"{'lat': 40.71304703, 'lng': -74.00723267}",Architectural Buildings • Religious Sites,4.5,99.0,40.71304703,-74.00723267
54,54,54,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d607078-Reviews-Lower_Manhattan-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/d5/1b/77/lower-manhattan-ny.jpg?w=500&h=-1&s=1,55. Lower Manhattan,1207,"{'lat': 40.70780182, 'lng': -74.01190186}",Neighborhoods,4.5,59.88,40.70780182,-74.01190186
55,55,55,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d565031-Reviews-Roosevelt_Island-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/e9/d5/a1/photo2jpg.jpg?w=500&h=-1&s=1,56. Roosevelt Island,907,"{'lat': 40.60598948, 'lng': -74.09115614}",Islands,4.5,112.0,40.60598948,-74.09115614
56,56,56,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d447348-Reviews-Jazz_at_Lincoln_Center-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/5b/04/d0/nice-sized-theatre.jpg?w=500&h=400&s=1,57. Jazz at Lincoln Center,920,"{'lat': 40.71304703, 'lng': -74.00723267}",Theaters • Civic Centres,4.5,192.9,40.71304703,-74.00723267
57,57,57,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d505289-Reviews-Gershwin_Theater-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/f1/5f/23/gershwin.jpg?w=500&h=400&s=1,58. Gershwin Theater,590,"{'lat': 40.71593032, 'lng': -74.03631576}",Theaters,4.5,124.0,40.71593032,-74.03631576
