attration_id,country,province,city,lien_detail,per_adult_value,image,titre,nbre_review,address,description,time,score,long_description,price
125,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g46431-d27139364-New_York_City_Night_Skyline_Shared_Tour-Fairfield_New_Jersey.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/40/31/0c/caption.jpg?w=500&h=400&s=1,126. New York City Night Skyline Shared Tour,0,"{'lat': 40.71304703, 'lng': -74.00723267}",Helicopter Tours,20–25 minutes,0.0,The best selling New York City helicopter tours departing from the conveniently located Essex County Airport in NJ. Explore…,198.0
126,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d11450444-New_York_Premier_Lunch_Cruise-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f0/81/4d/caption.jpg?w=500&h=400&s=1,127. New York Premier Lunch Cruise,23,"{'lat': 40.71304703, 'lng': -74.00723267}",Food & Drink,2 hours,4.5,"Come aboard the glass-enclosed, European-style Bateaux New York for the ultimate sightseeing experience. Float along the…",83.0
127,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d19497752-See_It_All_NYC_Walking_and_Boat_Tour-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/7d/2c/20/caption.jpg?w=500&h=400&s=1,128. See It All NYC Walking and Boat Tour,47,"{'lat': 40.71304703, 'lng': -74.00723267}",Historical Tours,6 hours,5.0,This unique tour is hosted by an experienced tour guide who is a native New Yorker. You will learn about the history and…,70.0
128,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d11451133-SoHo_Little_Italy_and_Chinatown_Walking_Tour_in_New_York-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5f/ad/fd/caption.jpg?w=500&h=400&s=1,"129. SoHo, Little Italy, and Chinatown Walking Tour in New York",1292,"{'lat': 40.71304703, 'lng': -74.00723267}",Private and Luxury,2 hours,5.0,"From its immigrant roots and cast-iron architecture to food, fashion, and mafia lore, the only way to really unpack the …",39.0
129,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d12942999-Around_Manhattan_Brunch_Cruise-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/ae/19/ce/caption.jpg?w=500&h=400&s=1,130. Around Manhattan Brunch Cruise,43,"{'lat': 40.71304703, 'lng': -74.00723267}",Food & Drink,2–3 hours,4.5,"Step aboard one of our 1920s-style yachts with teak decks, large observation windows, and aesthetically-pleasing decor for…",128.0
130,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d11479184-New_York_City_Ghost_Tour_of_Greenwich_Village-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/fd/68/24/caption.jpg?w=500&h=400&s=1,131.  New York City Ghost Tour of Greenwich Village,179,"{'lat': 40.71304703, 'lng': -74.00723267}",Ghost Tours,2 hours,5.0,"With a heritage dating back to the 17th century, Greenwich Village has spooky spots aplenty, from Washington Square Park…",36.0
131,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d23343522-Central_Park_Electric_Scooter_Tour_NYC-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/8f/c4/0d/caption.jpg?w=500&h=400&s=1,132.  Central Park Electric Scooter Tour NYC,36,"{'lat': 40.71304703, 'lng': -74.00723267}",Segway Tours,2 hours,4.5,Explore NYC in a new way with top of the line electric scooters that will easily carry you through the park as your guide…,76.0
132,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d24979701-Fifth_Avenue_Gilded_Age_Mansions_Walking_Tour-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/da/f1/bd/caption.jpg?w=500&h=400&s=1,133. Fifth Avenue Gilded Age Mansions Walking Tour,42,"{'lat': 40.71304703, 'lng': -74.00723267}",Historical Tours,2 hours,5.0,"- See the footprint of the largest single residence ever built in Manhattan

- Take in outrageous stories of Gilded Age …",39.0
133,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d11449048-Harlem_Sunday_Morning_Gospel_Tour-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5c/e4/a8/caption.jpg?w=500&h=400&s=1,134. Harlem Sunday Morning Gospel Tour,86,"{'lat': 40.71304703, 'lng': -74.00723267}",Art Tours,4 hours,4.0,"Visitors of New York City shouldn’t miss Harlem’s Sunday morning gospel culture. However, if you’re not from the area, chances…",80.0
134,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d12005519-The_Museum_of_Modern_Art_Admission_Ticket-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/89/be/03/caption.jpg?w=500&h=400&s=1,135. The Museum of Modern Art Admission Ticket,280,"{'lat': 40.71304703, 'lng': -74.00723267}",Historical Tours,3 hours,4.5,"Your ticket to The Museum of Modern Art includes a free audio guide, special exhibitions, films, and gallery talks. MoMA…",30.0
